Description,Carbohydrate (g),Protein (g),Total Fat (g),Kilocalories,Fiber (g),Sugar Total (g),Calcium (mg),Iron (mg),Vitamin C (mg),Vitamin E (mg),Sodium (mg),Cholesterol (mg)
"CORNMEAL,SELF-RISING,DEGERMED,ENR,YEL",74.79,8.41,1.72,355,7.099999905,0.0,350,4.73,0.0,0.0,1348,0
CORNSTARCH,91.27,0.26,0.05,381,0.899999976,0.0,2,0.47,0.0,0.0,9,0
"COUSCOUS,DRY",77.43,12.76,0.64,376,5.0,0.0,24,1.08,0.0,0.0,10,0
"COUSCOUS,COOKED",23.22,3.79,0.16,112,1.399999976,0.100000001,8,0.38,0.0,0.13,5,0
"HOMINY,CANNED,WHITE",14.26,1.48,0.88,72,2.5,1.820000052,10,0.62,0.0,0.05,210,0
"MILLET,RAW",72.85,11.02,4.22,378,8.5,0.0,8,3.01,0.0,0.05,5,0
"MILLET,COOKED",23.67,3.51,1.0,119,1.299999952,0.129999995,3,0.63,0.0,0.02,2,0
"OAT BRAN,RAW",66.22,17.3,7.03,246,15.39999962,1.450000048,58,5.41,0.0,1.01,4,0
"OAT BRAN,COOKED",11.44,3.21,0.86,40,2.599999905,0.0,10,0.88,0.0,0.0,1,0
"QUINOA,UNCKD",64.16,14.12,6.07,368,7.0,0.0,47,4.57,0.0,2.44,5,0
"RICE,BROWN,LONG-GRAIN,RAW",77.24,7.94,2.92,370,3.5,0.850000024,23,1.47,0.0,1.2,7,0
"RICE,BROWN,LONG-GRAIN,CKD",22.96,2.58,0.9,111,1.799999952,0.349999994,10,0.42,0.0,0.03,5,0
OATS,66.27,16.89,6.9,389,10.60000038,0.0,54,4.72,0.0,1.09,2,0
"RICE,BROWN,MEDIUM-GRAIN,RAW",76.17,7.5,2.68,362,3.400000095,0.0,33,1.8,0.0,0.68,4,0
"RICE,BROWN,MEDIUM-GRAIN,CKD",23.51,2.32,0.83,112,1.799999952,0.0,10,0.53,0.0,0.0,1,0
"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",79.95,7.13,0.66,365,1.299999952,0.119999997,28,4.31,0.0,0.11,5,0
"RICE,WHITE,LONG-GRAIN,REG,CKD",28.17,2.69,0.28,130,0.400000006,0.050000001,10,1.2,0.0,0.04,1,0
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,DRY",80.43,8.11,1.04,374,2.200000048,0.330000013,55,5.26,0.0,0.03,3,0
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,CKD",26.05,2.91,0.37,123,0.899999976,0.109999999,19,1.81,0.0,0.01,2,0
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,DRY",82.32,7.82,0.94,380,1.899999976,0.050000001,22,6.3,0.0,0.04,10,0
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,PREP",25.1,2.18,0.5,117,0.600000024,0.0,8,1.77,0.0,0.01,4,0
"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",79.34,6.61,0.58,360,1.399999976,0.0,9,4.36,0.0,0.11,1,0
"RICE,WHITE,MEDIUM-GRAIN,CKD",28.59,2.38,0.21,130,0.300000012,0.0,3,1.49,0.0,0.0,0,0
"RICE,WHITE,SHORT-GRAIN,RAW",79.15,6.5,0.52,358,2.799999952,0.0,3,4.23,0.0,0.0,1,0
"RICE,WHITE,SHORT-GRAIN,CKD",28.73,2.36,0.19,130,0.0,0.0,1,1.46,0.0,0.0,0,0
"RICE,WHITE,GLUTINOUS,RAW",81.68,6.81,0.55,370,2.799999952,0.0,11,1.6,0.0,0.0,7,0
"RICE,WHITE,GLUTINOUS,CKD",21.09,2.02,0.19,97,1.0,0.050000001,2,0.14,0.0,0.04,5,0
"RICE,WHITE,WITH PASTA,DRY",75.32,9.37,2.44,368,0.0,0.0,46,3.98,0.6,0.0,1866,2
"RICE,WHITE,W/PASTA,CKD",21.43,2.54,2.82,122,2.5,0.0,8,0.94,0.2,0.0,568,1
"RICE,WHITE,STMD,CHINESE RESTAURANT",33.88,3.2,0.27,151,0.899999976,0.0,5,0.39,0.0,0.0,5,0
"RICE BRAN,CRUDE",49.69,13.35,20.85,316,21.0,0.899999976,57,18.54,0.0,4.92,5,0
"RICE FLOUR,WHITE",80.13,5.95,1.42,366,2.400000095,0.119999997,10,0.35,0.0,0.11,0,0
RYE,69.76,14.76,2.5,335,14.60000038,1.039999962,33,2.67,0.0,1.28,6,0
"RYE FLOUR,DARK",68.74,14.03,2.69,324,22.60000038,1.039999962,56,6.45,0.0,1.41,1,0
"RYE FLOUR,MEDIUM",77.49,9.39,1.77,354,14.60000038,1.039999962,24,2.12,0.0,0.79,3,0
"RYE FLOUR,LIGHT",80.23,8.39,1.36,367,14.60000038,1.039999962,21,1.8,0.0,0.43,2,0
"SEMOLINA,ENRICHED",72.83,12.68,1.05,360,3.900000095,0.0,17,4.36,0.0,0.26,1,0
SORGHUM,74.63,11.3,3.3,339,6.300000191,0.0,28,4.4,0.0,0.0,6,0
"TAPIOCA,PEARL,DRY",88.69,0.19,0.02,358,0.899999976,3.349999905,20,1.58,0.0,0.0,1,0
TRITICALE,72.13,13.05,2.09,336,0.0,0.0,37,2.57,0.0,0.9,5,0
"TRITICALE FLR,WHOLE-GRAIN",73.14,13.18,1.81,338,14.60000038,0.0,35,2.59,0.0,0.9,2,0
"WHEAT,HARD RED SPRING",68.03,15.4,1.92,329,12.19999981,0.409999996,25,3.6,0.0,1.01,2,0
"WHEAT,HARD RED WINTER",71.18,12.61,1.54,327,12.19999981,0.409999996,29,3.19,0.0,1.01,2,0
"WHEAT,SOFT RED WINTER",74.24,10.35,1.56,331,12.5,0.409999996,27,3.21,0.0,1.01,2,0
"WHEAT,HARD WHITE",75.9,11.31,1.71,342,12.19999981,0.409999996,32,4.56,0.0,1.01,2,0
"WHEAT,SOFT WHITE",75.36,10.69,1.99,340,12.69999981,0.409999996,34,5.37,0.0,1.01,2,0
"WHEAT,DURUM",71.13,13.68,2.47,339,0.0,0.0,34,3.52,0.0,0.0,2,0
"WHEAT BRAN,CRUDE",64.51,15.55,4.25,216,42.79999924,0.409999996,73,10.57,0.0,1.49,2,0
"WHEAT GERM,CRUDE",51.8,23.15,9.72,360,13.19999981,0.0,39,6.26,0.0,0.0,12,0
"WHEAT FLOUR,WHOLE-GRAIN",72.57,13.7,1.87,339,12.19999981,0.409999996,34,3.88,0.0,0.82,5,0
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,BLEACHED",76.31,10.33,0.98,364,2.700000048,0.270000011,15,4.64,0.0,0.06,2,0
"WHEAT FLR,WHITE,ALL-PURPOSE,SELF-RISING,ENR",74.22,9.89,0.97,354,2.700000048,0.219999999,338,4.67,0.0,0.05,1270,0
"WHEAT FLR,WHITE,BREAD,ENR",72.53,11.98,1.66,361,2.400000095,0.310000002,15,4.41,0.0,0.4,2,0
"WHEAT FLR,WHITE,CAKE,ENR",78.03,8.2,0.86,362,1.700000048,0.310000002,14,7.32,0.0,0.02,2,0
"WHEAT FLR,WHITE,TORTILLA MIX,ENR",67.14,9.66,10.63,405,0.0,0.0,205,7.05,0.0,0.0,677,0
"WHEAT,SPROUTED",42.53,7.49,1.27,198,1.100000024,0.0,28,2.14,2.6,0.0,16,0
"WILD RICE,RAW",74.9,14.73,1.08,357,6.199999809,2.5,21,1.96,0.0,0.82,7,0
"WILD RICE,COOKED",21.34,3.99,0.34,101,1.799999952,0.730000019,3,0.6,0.0,0.24,3,0
"RICE FLOUR,BROWN",76.48,7.23,2.78,363,4.599999905,0.850000024,11,1.98,0.0,1.2,8,0
"PASTA,CORN,DRY",79.26,7.46,2.08,357,11.0,0.0,4,0.93,0.0,0.0,3,0
"PASTA,CORN,COOKED",27.91,2.63,0.73,126,4.800000191,0.0,1,0.25,0.0,0.0,0,0
"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED",54.73,11.31,2.3,288,0.0,0.0,15,3.35,0.0,0.0,26,73
"PASTA,FRESH-REFRIGERATED,PLN,CKD",24.93,5.15,1.05,131,0.0,0.0,6,1.14,0.0,0.0,6,33
"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED",55.72,11.26,2.1,289,0.0,0.0,43,3.3,0.0,0.0,27,73
"PASTA,FRESH-REFRIGERATED,SPINACH,CKD",25.04,5.06,0.94,130,0.0,0.0,18,1.11,0.0,0.0,6,33
"PASTA,HOMEMADE,MADE W/EGG,CKD",23.54,5.28,1.74,130,0.0,0.0,10,1.16,0.0,0.0,83,41
"PASTA,HOMEMADE,MADE WO/EGG,CKD",25.12,4.37,0.98,124,0.0,0.0,6,1.13,0.0,0.0,74,0
"MACARONI,DRY,ENR",74.67,13.04,1.51,371,3.200000048,2.670000076,21,3.3,0.0,0.11,6,0
"MACARONI,COOKED,ENRICHED",30.86,5.8,0.93,158,1.799999952,0.560000002,7,1.28,0.0,0.06,1,0
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 5.70)",67.56,19.86,2.23,375,2.400000095,0.0,39,4.15,0.0,0.0,8,0
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 5.70)",31.66,8.08,0.21,164,0.0,0.0,10,0.72,0.0,0.0,5,0
"MACARONI,VEG,DRY,ENR",74.88,13.14,1.04,367,4.300000191,0.0,34,4.28,0.0,0.0,43,0
"MACARONI,VEG,CKD,ENR",26.61,4.53,0.11,128,4.300000191,1.149999976,11,0.49,0.0,0.21,6,0
"MACARONI,WHOLE-WHEAT,DRY",75.03,14.63,1.4,348,8.300000191,0.0,40,3.63,0.0,0.0,8,0
"MACARONI,WHOLE-WHEAT,CKD",26.54,5.33,0.54,124,2.799999952,0.800000012,15,1.06,0.0,0.3,3,0
"NOODLES,EGG,DRY,ENRICHED",71.27,14.16,4.44,384,3.299999952,1.879999995,35,4.01,0.0,0.37,21,84
"NOODLES,EGG,CKD,ENR",25.16,4.54,2.07,138,1.200000048,0.400000006,12,1.47,0.0,0.17,5,29
"NOODLES,EGG,SPINACH,DRY,ENR",70.32,14.61,4.55,382,6.800000191,0.0,56,4.2,0.0,0.0,72,95
"NOODLES,EGG,SPINACH,CKD,ENR",24.25,5.04,1.57,132,2.299999952,0.400000006,19,1.09,0.0,0.58,12,33
"NOODLES,CHINESE,CHOW MEIN",57.54,8.38,30.76,527,3.900000095,0.25999999,20,4.73,0.0,3.48,439,0
"NOODLES,JAPANESE,SOBA,DRY",74.62,14.38,0.71,336,0.0,0.0,35,2.7,0.0,0.0,792,0
"NOODLES,JAPANESE,SOBA,CKD",21.44,5.06,0.1,99,0.0,0.0,4,0.48,0.0,0.0,60,0
"NOODLES,JAPANESE,SOMEN,DRY",74.1,11.35,0.81,356,4.300000191,0.0,23,1.32,0.0,0.0,1840,0
"NOODLES,JAPANESE,SOMEN,CKD",27.54,4.0,0.18,131,0.0,0.0,8,0.52,0.0,0.0,161,0
"NOODLES,FLAT,CRUNCHY,CHINESE RESTAURANT",51.9,10.33,31.72,521,0.0,0.0,21,1.76,0.0,0.0,378,0
"SPAGHETTI,DRY,ENRICHED",74.67,13.04,1.51,371,3.200000048,2.670000076,21,3.3,0.0,0.11,6,0
"SPAGHETTI,CKD,ENR,WO/ SALT",30.86,5.8,0.93,158,1.799999952,0.560000002,7,1.28,0.0,0.06,1,0
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 5.70)",67.56,19.86,2.23,375,0.0,0.0,39,4.15,0.0,0.0,8,0
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 5.70)",31.66,8.08,0.21,164,1.700000048,0.0,10,0.72,0.0,0.0,5,0
"SPAGHETTI,WHOLE-WHEAT,DRY",75.03,14.63,1.4,348,0.0,0.0,40,3.63,0.0,0.0,8,0
"SPAGHETTI,WHOLE-WHEAT,CKD",26.54,5.33,0.54,124,4.5,0.800000012,15,1.06,0.0,0.3,3,0
"SPAGHETTI,SPINACH,DRY",74.81,13.35,1.57,372,10.60000038,2.720000029,58,2.13,0.0,0.74,36,0
"SPAGHETTI,SPINACH,COOKED",26.15,4.58,0.63,130,0.0,0.0,30,1.04,0.0,0.0,14,0
"WHEAT FLOURS,BREAD,UNENR",72.53,11.98,1.66,361,2.400000095,0.310000002,15,0.9,0.0,0.4,2,0
BARLEY FLOUR OR MEAL,74.52,10.5,1.6,345,10.10000038,0.800000012,32,2.68,0.0,0.57,4,0
BARLEY MALT FLR,78.3,10.28,1.84,361,7.099999905,0.800000012,37,4.71,0.6,0.57,11,0
"OAT FLR,PART DEBRANNED",65.7,14.66,9.12,404,6.5,0.800000012,55,4.0,0.0,0.7,19,0
"RICE NOODLES,DRY",83.24,3.44,0.56,364,1.600000024,0.0,18,0.7,0.0,0.0,182,0
"RICE NOODLES,COOKED",24.9,0.91,0.2,109,1.0,0.0,4,0.14,0.0,0.0,19,0
"QUINOA,CKD",21.3,4.4,1.92,120,2.799999952,0.0,17,1.49,0.0,0.63,7,0
"KAMUT,UNCKD",70.38,14.7,2.2,337,9.100000381,8.18999958,24,4.41,0.0,0.6,6,0
"KAMUT,CKD",30.46,6.45,0.91,146,0.0,0.0,0,0.0,0.0,0.0,0,0
"SPELT,UNCKD",70.19,14.57,2.43,338,10.69999981,6.820000172,27,4.44,0.0,0.79,8,0
"SPELT,CKD",26.44,5.5,0.85,127,3.900000095,0.0,10,1.67,0.0,0.26,5,0
"TEFF,UNCKD",73.13,13.3,2.38,367,8.0,1.840000033,180,7.63,0.0,0.08,12,0
"TEFF,CKD",19.86,3.87,0.65,101,0.0,0.0,0,0.0,0.0,0.0,0,0
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 6.25)",65.65,21.78,2.23,374,2.400000095,0.0,39,4.15,0.0,0.0,8,0
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 6.25)",30.88,8.86,0.21,164,1.5,0.0,10,0.72,0.0,0.0,5,0
"NOODLES,EGG,CKD,ENR,W/ SALT",25.16,4.54,2.07,138,1.200000048,0.400000006,12,1.47,0.0,0.17,165,29
"CORN,WHITE",74.26,9.42,4.74,365,0.0,0.0,7,2.71,0.0,0.0,35,0
"CORN FLR,WHOLE-GRAIN,BLUE (HARINA DE MAIZ MORADO)",73.89,8.75,5.09,364,8.399999619,0.0,5,1.74,0.0,0.0,5,0
"CORN FLR,WHOLE-GRAIN,WHITE",76.85,6.93,3.86,361,7.300000191,0.639999986,7,2.38,0.0,0.42,5,0
"CORN FLR,MASA,ENR,YEL",76.27,9.34,3.78,365,0.0,0.0,141,7.21,0.0,0.0,5,0
"CORNMEAL,WHOLE-GRAIN,WHITE",76.89,8.12,3.59,362,7.300000191,0.639999986,6,3.45,0.0,0.42,35,0
"SPAGHETTI,CKD,ENR,W/ SALT",30.59,5.8,0.93,157,1.799999952,0.560000002,7,1.28,0.0,0.06,131,0
"CORNMEAL,DEGERMED,ENR,WHITE",79.15,7.25,1.79,369,4.0,1.659999967,3,4.32,0.0,0.16,7,0
"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,WHITE",70.28,8.28,3.4,334,6.699999809,0.0,361,5.76,0.0,0.0,1247,0
"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,WHITE",73.43,8.41,2.85,348,6.300000191,0.0,299,4.95,0.0,0.0,1319,0
"CORNMEAL,SELF-RISING,DEGERMED,ENR,WHITE",74.79,8.41,1.72,355,7.099999905,0.0,350,4.73,0.0,0.0,1348,0
"HOMINY,CANNED,YELLOW",14.26,1.48,0.88,72,2.5,0.0,10,0.62,0.0,0.0,210,0
"RICE,WHITE,LONG-GRAIN,REG,CKD,ENR,W/SALT",28.17,2.69,0.28,130,0.400000006,0.050000001,10,1.2,0.0,0.04,382,0
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED",76.31,10.33,0.98,364,2.700000048,0.0,252,4.64,0.0,0.06,2,0
"MACARONI,CKD,UNENR",30.86,5.8,0.93,158,1.799999952,0.560000002,7,0.5,0.0,0.06,1,0
"NOODLES,EGG,DRY,UNENR",71.27,14.16,4.44,384,3.299999952,1.879999995,35,1.9,0.0,0.37,21,84
"NOODLES,EGG,CKD,UNENR,WO/ SALT",25.16,4.54,2.07,138,1.200000048,0.400000006,12,0.6,0.0,0.17,5,29
"SPAGHETTI,DRY,UNENRICHED",74.67,13.04,1.51,371,3.200000048,2.670000076,21,1.3,0.0,0.11,6,0
"SPAGHETTI,CKD,UNENR,WO/ SALT",30.86,5.8,0.93,158,1.799999952,0.560000002,7,1.28,0.0,0.06,1,0
"CORNMEAL,DEGERMED,UNENR,YEL",79.15,7.25,1.79,369,4.0,1.659999967,3,1.1,0.0,0.16,7,0
"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR",79.95,7.13,0.66,365,1.299999952,0.119999997,28,0.8,0.0,0.11,5,0
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,WO/SALT",28.17,2.69,0.28,130,0.400000006,0.050000001,10,0.2,0.0,0.04,1,0
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY",80.43,8.11,1.04,374,2.200000048,0.330000013,55,0.74,0.0,0.03,3,0
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD",26.05,2.91,0.37,123,0.899999976,0.109999999,19,0.24,0.0,0.01,2,0
"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR",79.34,6.61,0.58,360,0.0,0.0,9,0.8,0.0,0.0,1,0
"RICE,WHITE,MEDIUM-GRAIN,CKD,UNENR",28.59,2.38,0.21,130,0.0,0.0,3,0.2,0.0,0.0,0,0
"RICE,WHITE,SHORT-GRAIN,RAW,UNENR",79.15,6.5,0.52,358,0.0,0.0,3,0.8,0.0,0.0,1,0
"RICE,WHITE,SHORT-GRAIN,CKD,UNENR",28.73,2.36,0.19,130,0.0,0.0,1,0.2,0.0,0.0,0,0
"SEMOLINA,UNENRICHED",72.83,12.68,1.05,360,3.900000095,0.0,17,1.23,0.0,0.0,1,0
"WHEAT FLR,WHITE,ALL-PURPOSE,UNENR",76.31,10.33,0.98,364,2.700000048,0.270000011,15,1.17,0.0,0.06,2,0
"MACARONI,DRY,UNENRICHED",74.67,13.04,1.51,371,3.200000048,2.670000076,21,1.3,0.0,0.11,6,0
"NOODLES,EGG,CKD,UNENR,W/ SALT",25.16,4.54,2.07,138,1.200000048,0.400000006,12,0.6,0.0,0.17,165,29
"SPAGHETTI,CKD,UNENR,W/ SALT",30.59,5.8,0.93,157,1.799999952,0.560000002,7,0.5,0.0,0.06,131,0
"CORNMEAL,DEGERMED,UNENR,WHITE",79.15,7.25,1.79,369,4.0,1.659999967,3,1.1,0.0,0.16,7,0
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)",30.88,8.86,0.21,164,2.0,0.0,10,0.72,0.0,0.0,5,0
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT",28.17,2.69,0.28,130,0.400000006,0.050000001,10,0.2,0.0,0.04,382,0
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,UNBLEACHED",76.31,10.33,0.98,364,2.700000048,0.270000011,15,4.64,0.0,0.23,2,0
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 6.25)",65.65,21.78,2.23,374,2.400000095,0.0,39,4.15,0.0,0.0,8,0
"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,ENR",77.32,8.89,1.43,367,0.0,0.540000021,20,5.06,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,UNENR",77.32,8.89,1.43,367,2.400000095,0.540000021,20,1.26,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,ENR",76.22,9.71,1.48,366,2.400000095,0.49000001,20,5.06,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,UNENR",76.22,9.71,1.48,366,2.400000095,0.49000001,20,1.26,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,UNBLEACHED,ENR",76.22,9.71,1.48,366,2.400000095,0.49000001,20,5.06,0.0,0.38,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,ENR",73.81,11.5,1.45,363,2.400000095,1.120000005,20,5.06,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,UNENR",73.81,11.5,1.45,363,2.400000095,1.120000005,20,1.26,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,UNBLEACHED,ENR",73.81,11.5,1.45,363,2.400000095,1.120000005,20,5.06,0.0,0.38,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,ENR",72.2,13.07,1.38,362,2.400000095,1.100000024,24,5.06,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,UNENR",72.2,13.07,1.38,362,2.400000095,1.100000024,24,1.26,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,ENR",69.88,15.33,1.41,362,2.400000095,0.920000017,17,5.06,0.0,0.05,2,0
"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,UNENR",69.88,15.33,1.41,362,2.400000095,0.920000017,17,1.26,0.0,0.05,2,0
FAST FOODS  BISCUIT  W/ EGG,23.46,8.53,16.23,274,0.600000024,0.0,60,2.13,0.1,0.27,655,180
"FAST FOODS,BISCUIT,W/EGG&BACON",19.06,11.33,20.73,305,0.5,2.190000057,126,2.49,1.8,1.34,666,235
"FAST FOODS,BISCUIT,W/EGG&HAM",16.37,10.64,14.08,230,0.400000006,2.200000048,115,2.37,0.0,1.11,720,156
"BREAKFAST ITEMS,BISCUIT W/EGG&SAUSAGE",21.05,11.13,20.77,312,0.200000003,0.949999988,51,1.9,0.0,0.95,672,161
"FAST FOODS,BISCUIT W/ EGG & STEAK",14.37,12.12,19.21,277,0.0,0.0,93,3.58,0.1,0.0,600,184
"FAST FOODS,BISCUIT,W/EGG,CHS,&BACON",24.44,12.01,17.48,301,0.200000003,1.74000001,103,1.57,0.0,1.02,816,166
"FAST FOODS,BISCUIT,W/HAM",38.75,11.85,16.3,342,0.699999988,1.970000029,142,2.41,0.1,1.23,1268,22
"FAST FOODS,BISCUIT,W/SAUSAGE",29.99,9.67,24.42,371,0.400000006,1.590000033,47,1.86,0.0,0.84,814,28
"FAST FOODS,CROISSANT,W/EGG&CHS",19.14,10.07,19.45,290,0.0,0.0,192,1.73,0.1,0.0,434,170
"FAST FOODS,CROISSANT,W/EGG,CHS,&BACON",18.33,12.58,21.98,320,0.0,0.0,117,1.7,1.7,0.0,689,167
"FAST FOODS,CROISSANT,W/EGG,CHS,&HAM",15.92,12.45,22.09,312,0.0,0.0,95,1.4,7.5,0.0,711,140
"FAST FOODS,CROISSANT,W/EGG,CHS,&SAUSAGE",15.45,12.69,23.85,327,0.0,0.0,90,1.9,0.1,0.0,697,135
"FAST FOODS,DANISH PASTRY,CHS",31.53,6.41,27.06,388,0.0,0.0,77,2.03,2.9,0.0,351,22
"FAST FOODS,DANISH PASTRY,CINN",53.24,5.46,19.0,397,0.0,0.0,42,2.04,2.9,0.0,371,31
"FAST FOODS,DANISH PASTRY,FRUIT",47.94,5.06,16.95,356,0.0,0.0,23,1.49,1.7,0.0,354,20
"FAST FOODS,EGG,SCRAMBLED",2.08,13.84,16.18,212,0.0,1.639999986,57,2.59,3.3,0.96,224,426
"FAST FOODS,ENG MUFFIN,W/BUTTER",48.19,7.73,9.14,300,0.0,0.0,163,2.52,1.2,0.2,613,20
"FAST FOODS,ENG MUFFIN,W/CHS&SAUSAGE",25.28,13.28,20.67,338,0.5,1.980000019,210,3.14,0.0,0.58,668,43
"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&CANADIAN BACON",21.47,13.53,9.05,221,0.400000006,1.840000033,193,2.12,1.1,0.91,556,168
"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&SAUSAGE",17.44,13.38,18.1,286,0.200000003,1.49000001,168,2.63,0.0,0.94,470,163
"FAST FOODS,FRENCH TOAST W/ BUTTER",26.7,7.66,13.9,264,0.0,0.0,54,1.4,0.1,0.0,380,86
"FAST FOODS,FRENCH TOAST STKS",41.21,6.0,17.74,340,1.399999976,9.890000343,53,1.92,0.0,0.88,428,0
"FAST FOODS,PANCAKES W/BUTTER&SYRUP",39.18,3.56,6.03,224,0.0,0.0,55,1.13,1.5,0.6,476,25
"FAST FOODS,POTATOES,HASHED BROWN",32.2,2.61,21.65,327,2.700000048,0.239999995,16,0.67,2.9,0.97,518,0
"FAST FOODS,BROWNIE",64.95,4.57,16.84,405,0.0,0.0,42,2.15,5.3,0.0,255,16
"FAST FOODS,ICE MILK,VANILLA,SOFT-SERVE,W/CONE",23.41,3.78,5.94,159,0.100000001,16.45000076,149,0.15,1.1,0.37,89,27
"FAST FOODS,COOKIES,ANIMAL CRACKERS",75.33,6.18,13.43,446,0.0,0.0,17,2.2,1.2,0.47,408,16
"FAST FOODS,COOKIES,CHOC CHIP",65.86,5.25,22.08,423,0.0,0.0,36,2.68,1.0,0.67,342,21
"FAST FOODS,SUNDAE,CARAMEL",31.81,4.71,5.98,196,0.0,0.0,122,0.14,2.2,0.58,126,16
"FAST FOODS,SUNDAE,HOT FUDGE",30.17,3.57,5.46,180,0.0,0.0,131,0.37,1.5,0.42,115,13
"FAST FOODS,SUNDAE,STRAWBERRY",29.18,4.09,5.13,175,0.0,0.0,105,0.21,1.3,0.51,60,14
"FAST FOODS,CHICK,BREADED&FRIED,DK MEAT (DRUMSTK OR THIGH)",10.61,20.32,18.04,291,0.0,0.0,24,1.08,0.0,0.0,510,112
"FAST FOODS,CHICK,BREADED&FRIED,LT MEAT (BREAST OR WING)",12.01,21.91,18.11,303,0.0,0.0,37,0.91,0.0,0.0,598,91
"FAST FOODS,CHILI CON CARNE",8.67,9.73,3.27,101,0.0,0.0,27,2.05,0.6,0.0,398,53
"FAST FOODS,CLAMS,BREADED&FRIED",33.75,11.15,22.96,392,0.0,0.0,18,2.65,0.0,0.0,725,76
"ENTREES,CRAB CAKE",8.52,18.75,17.25,266,0.400000006,0.0,337,1.86,0.3,0.0,819,137
"ENTREES,FISH FILLET,BATTERED OR BREADED,&FRIED",16.97,14.66,12.29,232,0.5,0.0,18,2.11,0.0,0.0,532,34
"FAST FOODS,OYSTERS,BATTERED OR BREADED,&FRIED",28.69,9.02,12.9,265,0.0,0.0,20,3.21,3.0,0.0,487,78
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG",3.22,1.25,0.07,16,0.0,0.0,13,0.63,23.2,0.0,26,0
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/CHS&EGG",2.19,4.04,2.67,47,0.0,0.0,46,0.31,4.5,0.0,55,45
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/CHICK",1.71,8.0,1.0,48,0.0,0.0,17,0.5,8.0,0.0,96,33
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/PASTA&SEAFOOD",7.67,3.94,5.0,91,0.0,0.0,17,0.76,9.2,0.0,377,12
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/SHRIMP",2.8,6.15,1.05,45,0.0,0.0,25,0.38,3.9,0.0,207,76
"FAST FOODS,SALAD,VEG TOSSED,WO/DRSNG,W/TURKEY,HAM&CHS",1.45,7.98,4.93,82,0.0,0.0,72,0.6,5.0,0.0,228,43
"FAST FOODS,SCALLOPS,BREADED&FRIED",26.73,10.94,13.47,268,0.0,0.0,13,1.42,0.0,0.0,638,75
