Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Kilocalories,Data.Fiber,Data.Sugar Total,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Major Minerals.Sodium,Data.Cholesterol,Cluster,Description
2.2,11.09,12.21,167.0,0.0,1.730000019,71,1.2,0.2,1.09,280.0,352.0,0,"EGG,WHL,CKD,SCRMBLD"
4.95,36.12,40.95,594.0,0.0,3.079999924,231,6.79,0.0,3.88,523.0,357.02000000000044,0,"EGG,WHOLE,DRIED"
2.38,36.12,43.95,615.0,0.0,0.0,222,8.28,0.0,0.0,548.0,357.02000000000044,0,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED"
4.17,36.12,0.04,351.0,0.0,4.170000076,83,0.23,0.0,0.0,1156.0,0.0,0,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED"
4.47,36.12,0.04,376.0,0.0,4.46999979,89,0.24,0.0,0.0,1238.0,0.0,0,"EGG,WHITE,DRIED,PDR,GLUCOSE RED"
3.6,34.25,55.8,666.0,0.0,3.599999905,284,5.42,0.0,5.42,135.0,357.02000000000044,0,"EGG,YOLK,DRIED"
1.45,12.81,13.77,185.0,0.0,0.930000007,64,3.85,0.0,1.34,146.0,357.02000000000044,0,"EGG,DUCK,WHOLE,FRESH,RAW"
1.35,13.87,13.27,185.0,0.0,0.939999998,60,3.64,0.0,1.29,138.0,357.02000000000044,0,"EGG,GOOSE,WHOLE,FRESH,RAW"
0.41,13.05,11.09,158.0,0.0,0.409999996,64,3.65,0.0,1.08,141.0,357.02000000000044,0,"EGG,QUAIL,WHOLE,FRESH,RAW"
1.15,13.68,11.88,171.0,0.0,0.0,99,4.1,0.0,0.0,151.0,357.02000000000044,0,"EGG,TURKEY,WHL,FRSH,RAW"
3.2,11.29,11.11,160.0,0.0,3.200000048,73,1.98,0.5,1.59,199.0,2.0,3,"EGG SUBSTITUTE,FROZEN"
0.64,12.0,3.31,84.0,0.0,0.639999986,53,2.1,0.0,0.27,177.0,1.0,3,"EGG SUBSTITUTE,LIQUID"
21.8,36.12,13.0,444.0,0.0,21.79999924,326,3.16,0.8,1.26,800.0,357.02000000000044,0,"EGG SUBSTITUTE,POWDER"
0.06,0.85,81.11,717.0,0.0,0.059999999,24,0.02,0.0,2.32,11.0,215.0,2,"BUTTER,WITHOUT SALT"
3.41,36.12,27.34,415.0,0.0,0.0,920,0.87,0.0,0.0,1696.0,72.0,0,"CHEESE,PARMESAN,SHREDDED"
1.6,22.15,31.25,375.0,0.0,0.50999999,616,0.39,0.0,0.27,650.0,94.0,0,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4"
2.1,24.73,25.01,334.0,0.0,0.0,772,0.61,0.0,0.0,681.0,85.0,0,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4"
7.29,19.61,24.6,328.0,0.0,7.429999828,574,0.84,0.0,0.22,1596.0,64.0,0,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4"
8.73,16.41,21.23,290.0,0.0,0.0,562,0.33,0.0,0.0,1625.0,55.0,0,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4"
4.85,3.41,0.18,35.0,0.0,5.090000153,123,0.04,1.0,0.04,52.0,2.0,3,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)"
5.49,3.95,1.98,56.0,0.0,0.0,143,0.06,1.1,0.0,59.0,8.0,3,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A"
10.04,6.81,7.56,134.0,0.0,0.0,261,0.19,1.9,0.0,106.0,29.0,3,"MILK,CND,EVAP,W/ VIT A"
2.17,30.52,35.59,452.0,0.0,2.170000076,895,1.88,0.0,0.31,346.0,105.0,0,"CHEESE,GOAT,HARD TYPE"
2.54,21.58,29.84,364.0,0.0,2.539999962,298,1.62,0.0,0.26,515.0,79.0,0,"CHEESE,GOAT,SEMISOFT TYPE"
0.89,18.52,21.08,268.0,0.0,0.889999986,140,1.9,0.0,0.18,368.0,46.0,0,"CHEESE,GOAT,SOFT TYPE"
1.6,14.0,23.0,274.0,0.0,0.0,114,3.75,0.0,0.0,2030.410000000009,357.02000000000044,0,"EGG,YOLK,RAW,FRZ,SALTED"
23.67,11.47,12.22,248.0,0.0,23.67000008,610,0.4,0.1,0.11,685.0,0.0,3,"CHEESE SUB,MOZZARELLA"
3.77,14.23,13.47,229.0,0.0,0.0,476,0.39,0.0,0.0,132.0,45.0,0,CHEESE FONDUE
5.48,10.33,14.92,197.0,0.100000001,0.0,311,0.35,0.6,0.0,493.0,38.0,0,"CHEESE SAU,PREP FROM RECIPE"
4.63,21.44,29.98,373.0,0.0,4.630000114,680,0.47,0.0,0.26,1131.0,105.0,0,"CHEESE,MEXICAN,QUESO ANEJO"
2.87,22.6,28.26,356.0,0.0,2.869999886,661,0.51,0.0,0.24,655.0,105.0,0,"CHEESE,MEXICAN,QUESO ASADERO"
5.56,21.56,29.68,374.0,0.0,5.559999943,651,0.47,0.0,0.26,617.0,105.0,0,"CHEESE,MEXICAN,QUESO CHIHUAHUA"
1.91,24.35,7.0,173.0,0.0,0.519999981,415,0.42,0.0,0.06,612.0,21.0,0,"CHEESE,LOFAT,CHEDDAR OR COLBY"
1.91,24.35,32.62,398.0,0.0,0.49000001,703,0.72,0.0,0.28,21.0,100.0,0,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
1.05,11.95,10.2,148.0,0.0,0.0,59,1.85,0.0,0.0,133.0,357.02000000000044,0,"EGG,WHOLE,RAW,FROZEN"
1.05,9.8,0.0,47.0,0.0,0.0,7,0.05,0.0,0.0,158.0,0.0,3,"EGG,WHITE,RAW,FROZEN"
7.8,36.12,0.0,382.0,0.0,5.400000095,62,0.15,0.0,0.0,1280.0,0.0,0,"EGG,WHITE,DRIED"
7.0,7.0,14.1,181.0,0.0,0.300000012,141,0.06,0.9,0.4,70.0,35.0,3,"SOUR CREAM,REDUCED FAT"
7.1,3.5,10.6,136.0,0.0,0.219999999,141,0.07,0.9,0.3,71.0,35.0,3,"SOUR CREAM,LIGHT"
15.6,3.1,0.0,74.0,0.0,0.389999986,125,0.0,0.0,0.0,141.0,9.0,3,"SOUR CREAM,FAT FREE"
2.0,27.2,18.3,282.0,0.0,0.579999983,905,0.13,0.0,0.16,725.0,56.0,0,"USDA COMMODITY,CHS,CHEDDAR,RED FAT"
7.5,3.86,0.18,47.0,0.0,7.5,143,0.12,1.1,0.0,59.0,2.0,3,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR"
40.0,36.12,5.0,370.0,0.0,1.5,800,5.0,0.0,0.04,1150.0,20.0,1,"PARMESAN CHS TOPPING,FAT FREE"
7.66,15.69,1.0,105.0,0.0,5.480000019,351,0.19,0.0,0.02,702.0,12.0,3,"CHEESE,CREAM,FAT FREE"
23.53,3.53,0.0,108.0,1.200000048,14.97000027,88,0.42,0.0,0.0,135.0,1.0,3,"YOGURT,CHOC,NONFAT MILK"
9.2,12.0,21.0,276.0,0.300000012,6.699999809,359,0.19,0.4,0.0,1638.0,75.0,0,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU
16.2,16.3,9.5,215.0,0.200000003,8.199999809,418,0.16,0.4,0.0,1705.0,35.0,0,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT
11.7,22.7,1.0,148.0,0.200000003,6.699999809,712,0.05,0.2,0.0,1298.0,16.0,0,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT
9.8,16.3,22.0,303.0,0.0,8.100000381,466,0.18,0.2,0.0,1499.0,80.0,0,KRAFT VELVEETA PAST PROCESS CHS SPRD
11.8,19.6,10.6,222.0,0.0,8.5,574,0.14,0.1,0.0,1586.0,42.0,0,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT
6.5,4.5,12.0,152.0,0.100000001,6.400000095,161,0.06,1.1,0.0,59.0,50.0,3,KRAFT BREAKSTONE'S RED FAT SOUR CRM
15.1,4.7,1.3,91.0,0.0,7.199999809,141,0.05,1.2,0.0,72.0,9.0,3,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM
18.2,3.8,0.8,96.0,0.200000003,17.39999962,125,0.1,0.0,0.0,52.0,9.0,3,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT)
21.9,3.2,0.8,108.0,0.200000003,19.60000038,91,0.11,0.0,0.0,45.0,9.0,3,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT)
19.9,3.8,0.9,102.0,0.300000012,17.20000076,108,0.13,0.0,0.0,55.0,9.0,3,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT)
